lang,coop_0.2_mean,coop_0.8_mean,diff,comment
en,9.1200,9.6000,+0.4800,ters fidelity
tr,4.8000,8.4000,+3.6000,ters fidelity
zh,8.4000,9.6000,+1.2000,ters fidelity
es,8.9400,9.6000,+0.6600,ters fidelity
fr,9.7600,9.6000,-0.1600,trait-blind heuristic
de,8.1600,7.6800,-0.4800,beklenen yön
ja,9.1200,9.6000,+0.4800,ters fidelity
pt,9.6000,9.1200,-0.4800,beklenen yön
ru,9.6000,9.6000,+0.0000,trait-blind heuristic
ar,10.3000,9.6000,-0.7000,beklenen yön
hi,9.1600,9.6000,+0.4400,ters fidelity
